OrderUuid,Exchange,Type,Quantity,Limit,CommissionPaid,Price,Opened,Closed
491f53cf-54b9-44fe-a0bd-8482fc9d9979,USDT-ETC,LIMIT_SELL,12,30.55,0.9165,366.6,11/29/2017 10:33:03 AM,11/29/2017 10:33:03 AM
b52379d7-169e-4982-9767-c75821539b16,USDT-ZEC,LIMIT_BUY,1.04518422,349,0.91192323,364.7692928,11/29/2017 10:33:53 AM,11/29/2017 10:34:27 AM
76e43dfa-4e3d-45e2-9653-b824da588e43,ETH-ETC,LIMIT_SELL,38.91994173,0.06759644,0.00657712,2.6308495,11/28/2017 10:34:10 AM,11/28/2017 10:34:16 AM
cac157cc-6a62-4d8e-9c0f-9f3018b96f75,ETH-ETC,LIMIT_BUY,54.90799932,0.06620013,0.00908729,3.63491668,11/28/2017 10:40:41 AM,11/28/2017 10:42:21 AM
d07ab919-bf68-41c6-bc39-dfa9f9169dfb,BTC-ARDR,LIMIT_SELL,1709.358695,0.00003919,0.00016781,0.06712651,12/2/2017 11:02:31 PM,12/2/2017 11:02:31 PM
09ba99c2-6969-4112-85dd-e8b904fd5886,BTC-XVG,LIMIT_SELL,8019.542857,0.00000052,0.00001042,0.00417016,12/11/2017 11:11:46 PM,12/11/2017 11:11:46 PM
71201374-2fe7-4d5d-8eac-cce0f0aaa96c,BTC-ARDR,LIMIT_BUY,1708.225128,0.0000391,0.00016697,0.0667916,12/2/2017 11:16:20 PM,12/2/2017 11:24:37 PM
08066099-c3d6-4c33-b7e9-15548698222f,BTC-BCC,LIMIT_SELL,0.88617351,0.12222222,0.00027076,0.10831008,12/5/2017 11:36:20 PM,12/5/2017 11:36:46 PM
441baaa2-cad6-4dd6-9c0b-a6ec506f42cd,BTC-MONA,LIMIT_SELL,97.69096,0.00088004,0.00021492,0.08597195,12/20/2017 11:43:19 PM,12/20/2017 11:43:19 PM
5e5f67d4-86de-4605-b0ee-f54c6db01b4e,BTC-TRIG,LIMIT_BUY,1045.753514,0.0000818,0.00021382,0.08554262,12/20/2017 11:43:59 PM,12/20/2017 11:48:53 PM
bf92e8d6-8988-4d16-a8c5-b5eb3f4531f5,BTC-ADA,LIMIT_SELL,8271.452145,0.00001212,0.00025062,0.10024999,12/1/2017 11:50:13 AM,12/1/2017 11:52:22 AM
84c327a0-d41d-449d-b99c-688f0c470170,BTC-SXC,LIMIT_BUY,1014.355904,0.00000429,0.0000087,0.004352,12/13/2017 11:53:00 AM,12/13/2017 11:53:00 AM
d947d75f-66b5-42e6-a309-cf4b5d21edcc,BTC-LSK,LIMIT_BUY,75.93351414,0.00100102,0.00019002,0.07601096,11/23/2017 12:02:11 PM,11/23/2017 12:02:11 PM
c93edc19-a9e3-47cc-b30b-05bab978dd0d,BTC-ADA,LIMIT_SELL,2555.715461,0.00001216,0.00007769,0.0310805,12/1/2017 12:17:10 PM,12/1/2017 12:17:10 PM
bed2ace6-ef4f-41c1-8092-08698dd52805,BTC-BCC,LIMIT_BUY,1.44175045,0.153,0.00055145,0.2205878,11/19/2017 12:17:50 PM,11/19/2017 12:17:50 PM
13bfc5d3-2699-4923-a390-40d1bc2f2ddb,BTC-ZEC,LIMIT_BUY,1.02551203,0.0304,0.0000779,0.03117553,12/1/2017 12:18:19 PM,12/1/2017 12:19:17 PM
018f9fec-3ab4-4fe5-b9ff-2f0db6557f34,BTC-ADA,LIMIT_SELL,7203.695337,0.0000124,0.00022331,0.08932582,12/1/2017 12:25:53 PM,12/1/2017 12:26:00 PM
fe984721-8dc6-47f2-b83b-dcec233275e4,BTC-XRP,LIMIT_BUY,3796.669075,0.00002341,0.00022212,0.08885329,12/1/2017 12:26:38 PM,12/1/2017 12:26:39 PM
